건물형태, 군구분,부대구분(관리부대),단지명,시도,시군구,읍면동,리,준공연도,공급세대,면적(15)50이하,면적(24)80이하,면적(30)100이하,면적(36)120이하,면적확인불가
아파트,육군,21사단,대암아파트 F동,강원도,양구군,동면,임당리,2003,20,,20,,,
아파트,육군,21사단,백두산 아파트 A동,강원도,양구군,양구읍,죽곡리,2002,30,,30,,,
아파트,육군,21사단,백두산 아파트 B동,강원도,양구군,양구읍,죽곡리,1994,20,,20,,,
아파트,육군,21사단,백두산 아파트 D동,강원도,양구군,양구읍,죽곡리,2008,12,,,12,,
아파트,육군,21사단,백호아파트 102동,강원도,양구군,남면,용하리,2003,20,,20,,,
아파트,육군,21사단,보배아파트,강원도,양구군,양구읍,정림리,1993,45,,12,33,,
아파트,육군,21사단,"성공대아파트 A동,B동",강원도,양구군,양구읍,하리,1996,60,,60,,,
아파트,육군,21사단,정림아파트 102동,강원도,양구군,양구읍,정림리,1998,30,,30,,,
아파트,육군,21사단,정림아파트 103동,강원도,양구군,양구읍,정림리,2001,90,,90,,,
아파트,육군,21사단,"하리아파트(가동,나동)",강원도,양구군,양구읍,하리,1994,48,,48,,,
아파트,육군,3군수지원여단,신남아파트 3동,강원도,인제군,남면,신풍리,1998,30,,30,,,
아파트,육군,3군수지원여단,신남아파트 9동,강원도,인제군,남면,신풍리,2017,24,,,24,,
아파트,육군,3군수지원여단,골든빌아파트,강원도,인제군,남면,신남리,2002,21,,21,,,
아파트,육군,3군수지원여단,대삼아파트,강원도,인제군,남면,신남리,1992,7,,7,,,
아파트,육군,3군수지원여단,융창빌라,강원도,인제군,상남면,상남리,1974,9,,9,,,
아파트,육군,3군단,푸르미소아파트,강원도,인제군,인제읍,합강리,2020,122,,122,,,
아파트,육군,21사단,해링턴플레이스 BTL,강원도,양구군,양구읍,상리,2013,550,,100,350,100,
아파트,육군,21사단,포미재아파트,강원도,양구군,양구읍,상리,2004,44,,,40,4,
아파트,육군,21사단,해오름아파트,강원도,양구군,동면,인당리,2021,83,,,83,,
아파트,육군,20기갑여단,진격아파트 3동 관사,강원도,홍천군,화촌면,성산리,2002,30,,,30,,
연립,육군,20기갑여단,화양빌라 관사,강원도,홍천군,화촌면,주음치리,2006,6,,,6,,
연립,육군,20기갑여단,화양빌라 관사,강원도,홍천군,화촌면,주음치리,2006,4,,,,4,
